sced_timestamp,market,location,location_type,lmp
2023-01-01 15:50:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,11.98
2023-01-01 15:51:21+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,13.18
2023-01-01 15:54:05+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.53
2023-01-01 15:55:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,20.7
2023-01-01 16:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,20.83
2023-01-01 16:05:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,20.21
2023-01-01 16:10:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.53
2023-01-01 16:15:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,23.22
2023-01-01 16:20:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,24.09
2023-01-01 16:25:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,22.18
2023-01-01 16:30:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,24.04
2023-01-01 16:35:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,26.01
2023-01-01 16:40:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.49
2023-01-01 16:45:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,16.81
2023-01-01 16:50:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.67
2023-01-01 16:55:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,14.0
2023-01-01 17:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,18.9
2023-01-01 17:05:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.55
2023-01-01 17:10:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,20.15
2023-01-01 17:15:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,20.2
2023-01-01 17:20:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,21.41
2023-01-01 17:25:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,18.39
2023-01-01 17:30:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,16.82
2023-01-01 17:35:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.37
2023-01-01 17:40:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,12.74
2023-01-01 17:41:27+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,12.19
2023-01-01 17:45:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,11.54
2023-01-01 17:50:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,11.95
2023-01-01 17:55:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,9.98
2023-01-01 18:00:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,11.37
2023-01-01 18:05:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,11.93
2023-01-01 18:10:11+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,13.37
2023-01-01 18:15:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,16.64
2023-01-01 18:20:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,13.64
2023-01-01 18:25:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,13.31
2023-01-01 18:30:11+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,15.78
2023-01-01 18:35:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.28
2023-01-01 18:40:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.15
2023-01-01 18:45:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.14
2023-01-01 18:50:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,23.23
2023-01-01 18:55:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,19.39
